"시군구별",2023.07,2023.08,2023.09,2023.10,2023.11,2023.12,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"의성군",13,5,8,8,9,9,-,-,-,-,-,-,-,-,-,118
"청송군",4,2,2,6,3,5,-,-,-,-,-,-,-,-,-,58
"영양군",4,5,1,5,4,2,-,-,-,-,-,-,-,-,-,47
"영덕군",7,6,6,7,7,6,-,-,-,-,-,-,-,-,-,78
"청도군",8,10,2,7,9,9,-,-,-,-,-,-,-,-,-,91
"고령군",8,4,1,3,8,9,-,-,-,-,-,-,-,-,-,77
"성주군",12,12,9,12,13,10,-,-,-,-,-,-,-,-,-,125
"칠곡군",24,39,23,30,21,30,-,-,-,-,-,-,-,-,-,370
"예천군",17,10,5,11,11,12,-,-,-,-,-,-,-,-,-,165
"봉화군",3,5,4,8,4,5,-,-,-,-,-,-,-,-,-,53
"울진군",6,13,6,13,11,15,-,-,-,-,-,-,-,-,-,150
"울릉군",3,3,0,4,1,3,-,-,-,-,-,-,-,-,-,35
"경상남도",741,834,665,828,882,897,19056,18671,17580,15978,14996,13613,11900,10531,10504,10232
"창원시",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"마산시",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"합포구",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"회원구",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"진주시",91,91,61,104,116,112,1696,1706,1667,1571,1468,1386,1260,1315,1101,1158
"진해시",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"통영시",24,16,15,27,21,27,820,802,723,589,546,454,394,341,353,283
"사천시",35,33,27,33,38,19,676,607,553,552,523,423,421,374,352,406
"김해시",125,152,122,137,153,164,3123,2901,2750,2578,2489,2425,2185,1820,1829,1837
"밀양시",15,28,14,23,32,18,434,501,390,356,338,309,299,280,253,272
"거제시",40,51,46,63,61,63,2095,2281,2040,1577,1285,1071,835,760,771,672
"양산시",95,106,93,106,119,117,1798,1809,1828,1913,1934,1650,1456,1279,1212,1319
"창원시",240,261,214,251,269,312,6337,6094,5835,5265,4928,4444,3897,3421,3630,3244
"의창구",60,52,41,60,52,63,1580,1547,1374,1292,1192,1188,1110,800,831,655
"성산구",56,60,55,60,61,91,1490,1367,1319,1186,1200,984,884,857,981,858
"마산합포구",48,55,43,53,47,44,905,955,902,855,811,701,557,546,573,576
"마산회원구",29,39,33,30,41,39,1129,981,1046,860,745,690,627,507,508,440
"진해구",47,55,42,48,68,75,1233,1244,1194,1072,980,881,719,711,737,715
"의령군",0,0,0,0,0,0,108,98,86,84,77,77,74,52,58,0
"함안군",0,0,0,0,0,0,403,362,319,282,212,216,177,132,121,0
"창녕군",0,0,0,0,0,0,291,276,276,249,218,196,171,135,125,0
"고성군",0,0,0,0,0,0,276,254,214,183,162,146,112,97,111,0
"남해군",0,0,0,0,0,0,159,134,121,122,116,118,91,75,84,0
"하동군",0,0,0,0,0,0,188,197,184,115,138,150,109,91,89,0
"산청군",0,0,0,0,0,0,112,133,115,98,115,107,88,76,73,0
"함양군",0,0,0,0,0,0,144,147,123,108,121,114,81,70,90,0
"거창군",0,0,0,0,0,0,238,220,234,189,197,203,168,139,163,0
"합천군",0,0,0,0,0,0,158,149,122,147,129,124,82,74,89,0
"의령군",4,1,7,0,2,2,-,-,-,-,-,-,-,-,-,44
"함안군",7,13,14,12,11,12,-,-,-,-,-,-,-,-,-,140
"창녕군",6,11,14,6,11,9,-,-,-,-,-,-,-,-,-,143
"고성군",11,10,9,10,9,9,-,-,-,-,-,-,-,-,-,122
"남해군",9,9,5,5,8,1,-,-,-,-,-,-,-,-,-,81
"하동군",13,11,4,7,8,8,-,-,-,-,-,-,-,-,-,106
"산청군",3,5,7,8,3,3,-,-,-,-,-,-,-,-,-,68
"함양군",4,10,2,9,4,3,-,-,-,-,-,-,-,-,-,88
"거창군",10,14,11,21,12,10,-,-,-,-,-,-,-,-,-,155
"합천군",9,12,0,6,5,8,-,-,-,-,-,-,-,-,-,94
"제주특별자치도",182,179,178,208,238,251,3593,3676,3705,3654,3638,3358,2981,2661,2718,2614
"제주시",138,135,129,155,182,195,2719,2696,2734,2735,2666,2457,2214,1933,2034,1964
"서귀포시",44,44,49,53,56,56,874,980,971,919,972,901,767,728,684,650
"북제주군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"남제주군",0,0,0,0,0,0,-,-,-,-,0,0,0,0,0,0
"국외",304,332,277,372,361,341,7724,6704,5096,5115,5283,5248,3385,3163,3804,4094
