충청남도,공주시,399,362,296,260,300
충청남도,보령시,430,408,325,313,319
충청남도,아산시,1800,1554,1339,1419,1421
충청남도,서산시,1003,873,742,759,751
충청남도,논산시,489,428,361,314,356
충청남도,계룡시,123,119,119,120,132
충청남도,당진시,1062,851,756,688,725
충청남도,금산군,165,170,110,107,134
충청남도,연기군,0,0,0,0,0
충청남도,부여군,206,169,145,149,162
충청남도,서천군,175,153,119,110,105
충청남도,청양군,93,91,72,71,67
충청남도,홍성군,490,408,348,295,325
충청남도,예산군,264,291,240,200,214
충청남도,태안군,226,262,205,215,221
충청남도,당진군,0,0,0,0,0
전북특별자치도,전북특별자치도,7219,7005,6053,5325,5394
전북특별자치도,전주시,2944,2828,2447,2185,2299
전북특별자치도,군산시,1140,1089,1015,830,817
전북특별자치도,익산시,1063,1010,820,878,692
전북특별자치도,정읍시,374,375,306,271,281
전북특별자치도,남원시,261,269,211,164,207
전북특별자치도,김제시,267,240,289,207,229
전북특별자치도,완주군,376,360,310,282,334
전북특별자치도,진안군,86,77,62,53,50
전북특별자치도,무주군,94,88,69,58,50
전북특별자치도,장수군,77,76,54,39,51
전북특별자치도,임실군,99,102,87,58,69
전북특별자치도,순창군,63,93,66,42,51
전북특별자치도,고창군,185,203,150,129,135
전북특별자치도,부안군,190,195,167,129,129
전북특별자치도,전라남도,7587,7413,6365,6201,6181
전북특별자치도,목포시,884,882,743,725,701
전북특별자치도,여수시,1251,1257,1051,1083,1103
전북특별자치도,순천시,1273,1164,1017,1047,1056
전북특별자치도,나주시,591,582,488,514,444
전북특별자치도,여천시,0,0,0,0,0
전북특별자치도,광양시,748,661,595,587,638
전북특별자치도,담양군,146,153,146,106,124
전북특별자치도,곡성군,69,83,53,48,49
전북특별자치도,구례군,78,73,51,51,49
전북특별자치도,여천군,0,0,0,0,0
전북특별자치도,고흥군,189,209,149,136,141
전북특별자치도,보성군,139,93,97,96,93
전북특별자치도,화순군,205,201,201,187,182
전북특별자치도,장흥군,134,157,128,106,103
전북특별자치도,강진군,121,120,91,75,80
전북특별자치도,해남군,284,263,237,157,187
전북특별자치도,영암군,190,226,205,182,199
전북특별자치도,무안군,348,278,310,422,367
전북특별자치도,함평군,120,97,82,60,77
전북특별자치도,영광군,200,259,200,175,160
전북특별자치도,장성군,157,176,154,108,111
전북특별자치도,완도군,196,211,150,141,129
전북특별자치도,진도군,114,120,91,81,76
전북특별자치도,신안군,150,148,126,114,112
경상북도,경상북도,11687,10637,9046,8163,8180
경상북도,포항시,2265,2155,1848,1863,1743
경상북도,경주시,1127,969,859,758,765
경상북도,김천시,592,562,473,439,404
경상북도,안동시,603,552,470,451,443
경상북도,구미시,2326,2125,1794,1476,1510
경상북도,영주시,387,300,280,281,297
경상북도,영천시,387,414,330,310,339
경상북도,상주시,337,296,266,216,265
경상북도,문경시,215,229,173,165,166
경상북도,경산시,1283,1198,987,868,902
경상북도,군위군,67,64,50,34,33
경상북도,의성군,141,154,131,90,85
경상북도,청송군,87,81,63,63,67
경상북도,영양군,54,50,45,43,39
경상북도,영덕군,130,105,84,65,81
경상북도,청도군,130,107,87,72,87
경상북도,고령군,111,88,63,61,56
경상북도,성주군,184,141,132,114,98
경상북도,칠곡군,657,511,406,367,370
경상북도,예천군,235,202,224,181,182
경상북도,봉화군,81,85,63,67,62
경상북도,울진군,238,209,183,148,155
경상북도,울릉군,50,40,35,31,31
경상남도,경상남도,14996,13613,11900,10531,10504
경상남도,창원시,0,0,0,0,0
경상남도,마산시,0,0,0,0,0
경상남도,진주시,1468,1386,1260,1315,1101
경상남도,진해시,0,0,0,0,0
경상남도,통영시,546,454,394,341,353
경상남도,사천시,523,423,421,374,352
경상남도,김해시,2489,2425,2185,1820,1829
경상남도,밀양시,338,309,299,280,253
경상남도,거제시,1285,1071,835,760,771
경상남도,양산시,1934,1650,1456,1279,1212
경상남도,창원시,4928,4444,3897,3421,3630
경상남도,의령군,77,77,74,52,58
경상남도,함안군,212,216,177,132,121
경상남도,창녕군,218,196,171,135,125
경상남도,고성군,162,146,112,97,111
경상남도,남해군,116,118,91,75,84
경상남도,하동군,138,150,109,91,89
경상남도,산청군,115,107,88,76,73
경상남도,함양군,121,114,81,70,90
경상남도,거창군,197,203,168,139,163
경상남도,합천군,129,124,82,74,89
제주특별자치도,제주특별자치도,3638,3358,2981,2661,2718
제주특별자치도,제주시,2666,2457,2214,1933,2034
제주특별자치도,서귀포시,972,901,767,728,684
제주특별자치도,북제주군,0,0,0,0,0
제주특별자치도,남제주군,0,0,0,0,0
국외,국외,5283,5248,3385,3163,3804
