"금산군",165,170,110,107,134
"연기군",0,0,0,0,0
"부여군",206,169,145,149,162
"서천군",175,153,119,110,105
"청양군",93,91,72,71,67
"홍성군",490,408,348,295,325
"예산군",264,291,240,200,214
"태안군",226,262,205,215,221
"당진군",0,0,0,0,0
"전북특별자치도",7219,7005,6053,5325,5394
"전주시",2944,2828,2447,2185,2299
"완산구",1440,1290,1190,1023,1154
"덕진구",1504,1538,1257,1162,1145
"군산시",1140,1089,1015,830,817
"익산시",1063,1010,820,878,692
"정읍시",374,375,306,271,281
"남원시",261,269,211,164,207
"김제시",267,240,289,207,229
"완주군",376,360,310,282,334
"진안군",86,77,62,53,50
"무주군",94,88,69,58,50
"장수군",77,76,54,39,51
"임실군",99,102,87,58,69
"순창군",63,93,66,42,51
"고창군",185,203,150,129,135
"부안군",190,195,167,129,129
"전라남도",7587,7413,6365,6201,6181
"목포시",884,882,743,725,701
"여수시",1251,1257,1051,1083,1103
"순천시",1273,1164,1017,1047,1056
"나주시",591,582,488,514,444
"여천시",0,0,0,0,0
"광양시",748,661,595,587,638
"담양군",146,153,146,106,124
"곡성군",69,83,53,48,49
"구례군",78,73,51,51,49
"여천군",0,0,0,0,0
"고흥군",189,209,149,136,141
"보성군",139,93,97,96,93
"화순군",205,201,201,187,182
"장흥군",134,157,128,106,103
"강진군",121,120,91,75,80
"해남군",284,263,237,157,187
"영암군",190,226,205,182,199
"무안군",348,278,310,422,367
"함평군",120,97,82,60,77
"영광군",200,259,200,175,160
"장성군",157,176,154,108,111
"완도군",196,211,150,141,129
"진도군",114,120,91,81,76
"신안군",150,148,126,114,112
"경상북도",11687,10637,9046,8163,8180
"포항시",2265,2155,1848,1863,1743
"남구",1119,1088,877,892,820
"북구",1146,1067,971,971,923
"경주시",1127,969,859,758,765
"김천시",592,562,473,439,404
"안동시",603,552,470,451,443
"구미시",2326,2125,1794,1476,1510
"영주시",387,300,280,281,297
"영천시",387,414,330,310,339
"상주시",337,296,266,216,265
"문경시",215,229,173,165,166
"경산시",1283,1198,987,868,902
"군위군",67,64,50,34,33
"의성군",141,154,131,90,85
"청송군",87,81,63,63,67
"영양군",54,50,45,43,39
"영덕군",130,105,84,65,81
"청도군",130,107,87,72,87
"고령군",111,88,63,61,56
"성주군",184,141,132,114,98
"칠곡군",657,511,406,367,370
"예천군",235,202,224,181,182
"봉화군",81,85,63,67,62
"울진군",238,209,183,148,155
"울릉군",50,40,35,31,31
"경상남도",14996,13613,11900,10531,10504
"창원시",0,0,0,0,0
"마산시",0,0,0,0,0
"합포구",0,0,0,0,0
"회원구",0,0,0,0,0
"진주시",1468,1386,1260,1315,1101
"진해시",0,0,0,0,0
"통영시",546,454,394,341,353
"사천시",523,423,421,374,352
"김해시",2489,2425,2185,1820,1829
"밀양시",338,309,299,280,253
"거제시",1285,1071,835,760,771
"양산시",1934,1650,1456,1279,1212
"창원시",4928,4444,3897,3421,3630
"의창구",1192,1188,1110,800,831
"성산구",1200,984,884,857,981
"마산합포구",811,701,557,546,573
"마산회원구",745,690,627,507,508
"진해구",980,881,719,711,737
"의령군",77,77,74,52,58
"함안군",212,216,177,132,121
"창녕군",218,196,171,135,125
"고성군",162,146,112,97,111
"남해군",116,118,91,75,84
"하동군",138,150,109,91,89
"산청군",115,107,88,76,73
"함양군",121,114,81,70,90
"거창군",197,203,168,139,163
"합천군",129,124,82,74,89
"제주특별자치도",3638,3358,2981,2661,2718
"제주시",2666,2457,2214,1933,2034
"서귀포시",972,901,767,728,684
"북제주군",0,0,0,0,0
"남제주군",0,0,0,0,0
"국외",5283,5248,3385,3163,3804
