,시군구별,2018,2019,2020,2021,2022
경기도,이천시,1.106,0.991,0.921,0.878,0.857
경기도,안성시,1.026,1.002,0.842,0.855,0.846
경기도,김포시,1.094,1.016,0.976,0.968,0.934
경기도,화성시,1.309,1.199,1.088,1.006,0.964
경기도,광주시,1.127,1.043,0.959,0.883,0.881
경기도,양주시,1.09,1.03,0.987,0.939,0.896
경기도,포천시,1.056,0.889,0.868,0.805,0.823
경기도,여주시,1.118,1.083,1.053,0.893,0.897
경기도,양주군,0,0,0,0,0
경기도,여주군,0,0,0,0,0
경기도,화성군,0,0,0,0,0
경기도,광주군,0,0,0,0,0
경기도,연천군,1.613,1.413,1.281,1.188,1.041
경기도,포천군,0,0,0,0,0
경기도,가평군,1.093,0.971,1.025,0.969,0.803
경기도,양평군,0.994,1.024,0.967,0.945,0.917
강원특별자치도,강원특별자치도,1.067,1.082,1.036,0.979,0.968
강원특별자치도,춘천시,1.024,1.017,0.975,0.902,0.901
강원특별자치도,원주시,0.984,1.03,0.978,0.942,0.941
강원특별자치도,강릉시,1.004,0.959,0.945,0.904,0.91
강원특별자치도,동해시,1.096,1.046,1.055,1.102,0.987
강원특별자치도,태백시,1.193,1.006,1.001,0.874,0.913
강원특별자치도,속초시,1.031,1.046,1.063,0.964,0.913
강원특별자치도,삼척시,1.191,1.344,1.361,1.187,1.26
강원특별자치도,홍천군,1.255,1.125,1.102,1.029,1.023
강원특별자치도,횡성군,0.858,1.053,0.992,0.992,0.852
강원특별자치도,영월군,0.907,0.92,1.009,0.798,0.864
강원특별자치도,평창군,0.88,0.944,0.757,0.817,0.764
강원특별자치도,정선군,0.927,1.112,1.027,1.102,0.827
강원특별자치도,철원군,1.538,1.652,1.656,1.394,1.398
강원특별자치도,화천군,1.567,1.565,1.235,1.201,1.402
강원특별자치도,양구군,1.358,1.473,1.428,1.518,1.434
강원특별자치도,인제군,1.579,1.642,1.439,1.472,1.311
강원특별자치도,고성군,1.014,1.248,1.02,0.962,1.1
강원특별자치도,양양군,1.343,1.182,0.924,0.855,0.88
충청북도,충청북도,1.172,1.05,0.983,0.949,0.871
충청북도,청주시,0,0,0,0,0
충청북도,충주시,1.088,1.054,1.019,0.952,0.88
충청북도,제천시,1.188,1.086,1.014,1.002,0.832
충청북도,청주시,1.163,0.999,0.959,0.941,0.86
충청북도,청원군,0,0,0,0,0
충청북도,보은군,1.585,0.975,1.184,0.818,0.956
충청북도,옥천군,0.894,0.957,1,0.918,0.721
충청북도,영동군,1.575,1.325,1.364,1.114,0.998
충청북도,진천군,1.331,1.426,1.174,1.118,1.107
충청북도,괴산군,0.847,0.945,0.672,0.781,0.798
충청북도,음성군,1.158,1.152,0.911,0.867,0.82
충청북도,단양군,0.999,0.92,0.781,0.806,0.745
충청북도,증평군,1.506,1.303,1.005,0.951,0.883
충청남도,충청남도,1.186,1.112,1.029,0.963,0.909
충청남도,천안시,1.105,1.017,0.98,0.935,0.842
충청남도,공주시,1.068,1.187,1.024,0.873,0.836
충청남도,보령시,1.028,1.099,0.987,0.958,0.967
충청남도,아산시,1.268,1.154,0.99,0.904,0.906
충청남도,서산시,1.467,1.314,1.255,1.179,1.209
충청남도,논산시,1.179,1.175,0.984,0.957,0.881
충청남도,계룡시,1.19,1.076,0.91,0.83,0.885
충청남도,당진시,1.494,1.394,1.254,1.178,1.112
충청남도,금산군,1.087,1.149,1.07,0.92,0.868
충청남도,연기군,0,0,0,0,0
충청남도,부여군,0.909,0.853,0.809,0.68,0.747
충청남도,서천군,1.178,1.047,1.123,1.1,0.978
충청남도,청양군,1.055,1.025,0.978,1.047,0.896
충청남도,홍성군,1.258,1.189,1.204,1.124,0.923
충청남도,예산군,0.87,1.047,0.921,0.78,0.827
충청남도,태안군,1.105,0.932,1.002,0.875,0.884
충청남도,당진군,0,0,0,0,0
전북특별자치도,전북특별자치도,1.044,0.971,0.909,0.85,0.817
전북특별자치도,전주시,0.954,0.883,0.811,0.786,0.73
전북특별자치도,군산시,1.038,0.971,0.954,0.86,0.877
전북특별자치도,익산시,1.03,0.908,0.851,0.791,0.773
전북특별자치도,정읍시,1.143,1.063,0.866,0.889,0.898
전북특별자치도,남원시,1.337,1.324,1.215,1.161,0.96
전북특별자치도,김제시,1.052,0.923,0.969,0.918,1.199
전북특별자치도,완주군,1.136,1.04,0.923,0.822,0.865
전북특별자치도,진안군,1.714,1.685,1.637,1.562,1.19
전북특별자치도,무주군,0.915,0.888,1.111,0.83,0.848
전북특별자치도,장수군,1.049,1.204,1.279,1.05,1.004
전북특별자치도,임실군,1.397,1.416,1.749,1.803,1.56
전북특별자치도,순창군,1.816,1.639,1.66,0.946,0.822
전북특별자치도,고창군,1.147,1.226,1.145,1.019,0.949
전북특별자치도,부안군,1.06,1.211,0.953,1.009,0.881
전라남도,전라남도,1.24,1.234,1.145,1.017,0.969
전라남도,목포시,0.992,0.948,0.801,0.7,0.737
전라남도,여수시,1.192,1.108,1.067,1.009,0.952
전라남도,순천시,1.108,1.16,1.041,1,0.971
전라남도,나주시,1.36,1.25,1.109,1.054,1.027
전라남도,광양시,1.333,1.272,1.232,1.111,1.061
전라남도,담양군,1.384,1.268,1.332,0.903,0.855
전라남도,곡성군,1.336,1,0.811,0.544,0.535
전라남도,구례군,0.74,1.136,1.047,1.138,0.942
전라남도,고흥군,1.168,1.438,1.459,1.245,1.095
전라남도,보성군,1.195,1.159,1.057,0.814,0.793
전라남도,화순군,0.99,1.107,1.091,0.808,0.739
전라남도,장흥군,1.248,1.51,1.774,1.337,1.148
전라남도,강진군,1.412,1.429,1.063,0.907,0.888
전라남도,해남군,1.886,1.893,1.668,1.361,1.042
전라남도,영암군,1.594,1.542,1.375,1.161,0.946
전라남도,무안군,1.054,1.038,1.012,0.967,1.01
전라남도,함평군,1.289,1.181,1.345,0.924,0.881
전라남도,영광군,1.816,2.538,2.455,1.869,1.803
전라남도,장성군,1.778,1.429,1.509,0.953,0.827
전라남도,완도군,1.616,1.567,1.439,1.295,1.129
전라남도,진도군,1.217,1.529,1.073,1.273,1.101
전라남도,신안군,1.593,1.437,1.338,1.501,1.298
경상북도,경상북도,1.167,1.089,1.003,0.966,0.93
경상북도,포항시,1.117,1.014,0.956,0.883,0.889
경상북도,경주시,1.036,0.942,0.971,0.951,0.893
경상북도,김천시,1.414,1.271,1.254,1.231,1.164
경상북도,안동시,1.201,1.17,1.017,1.042,0.963
경상북도,구미시,1.11,0.984,0.944,0.872,0.818
경상북도,영주시,1.214,0.995,0.966,1.028,0.961
경상북도,영천시,1.18,1.549,1.358,1.322,1.313
경상북도,상주시,1.241,1.238,1.066,0.988,1.073
경상북도,문경시,1.084,1.19,1.291,1.219,1.104
경상북도,경산시,1.182,1.065,0.888,0.934,0.873
경상북도,군위군,1.179,1.233,1.014,1.06,1.486
경상북도,의성군,1.63,1.761,1.598,1.375,1.457
경상북도,청송군,1.09,1.623,1.184,1.385,1.207
경상북도,영양군,1.17,1.437,1.078,0.858,0.696
경상북도,영덕군,1.219,1.488,1.36,1.003,1.141
경상북도,청도군,1.056,1.009,0.903,0.8,0.985
경상북도,고령군,1.156,1.037,0.977,1.064,0.975
경상북도,성주군,1.486,1.314,1.264,1.309,1.183
경상북도,칠곡군,1.185,0.964,0.741,0.756,0.723
경상북도,예천군,1.527,1.541,1.38,1.303,1.159
경상북도,봉화군,1.512,1.48,1.302,0.93,1.026
경상북도,울진군,1.21,1.236,1.118,1.102,1.052
