"충청남도","66세",9,5,12,4,12,2,14,9,15,4,12,3,14,9,14,11,15,10,15,9
"충청남도","67세",8,2,15,4,15,5,14,1,7,4,13,7,14,6,14,2,9,9,16,12
"충청남도","68세",10,1,12,4,11,2,11,5,14,8,9,5,10,11,12,2,15,5,15,6
"충청남도","69세",13,4,8,4,6,3,23,5,17,4,13,5,15,7,9,2,7,8,10,8
"충청남도","70세",6,2,2,6,7,2,10,2,10,3,11,8,8,5,13,6,12,4,19,5
"충청남도","71세",2,1,7,2,10,2,4,4,11,4,7,3,9,3,9,8,6,8,13,6
"충청남도","72세",2,1,5,1,1,2,7,2,4,3,10,3,6,3,7,3,9,4,5,6
"충청남도","73세",2,1,6,3,4,1,3,1,7,2,5,0,6,3,10,4,11,4,9,2
"충청남도","74세",2,1,5,2,2,2,6,5,5,0,4,3,4,1,6,0,9,9,4,4
"충청남도","75세",3,1,4,2,0,0,1,2,1,0,4,0,5,0,3,1,9,4,4,3
"충청남도","76세이상",14,2,23,7,14,6,14,4,10,4,24,9,26,9,26,10,29,11,34,12
"충청남도","미상",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
