"시군구별",2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명),계 (명)
"전국",21922,21504,22364,22282,21905,20749,19829,17179,24637,20702,23000,21164,20070,18915,20475,21782,21918,20646,18981,16896,484550,436455,435435,438420,406243,357771,326822,302676,272337,260562,249186
