"시군구별",2014,2015,2016,2017,2018,2019,2020,2021,2022
"시군구별",합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율,합계출산율
"대덕구",1.259,1.216,1.160,1.012,0.906,0.849,0.752,0.806,0.913
"울산광역시",1.437,1.486,1.418,1.261,1.131,1.084,0.984,0.940,0.848
"중구",1.245,1.327,1.356,1.196,1.029,0.894,0.770,0.773,0.652
"남구",1.308,1.356,1.261,1.115,1.000,0.934,0.876,0.872,0.800
"동구",1.655,1.622,1.583,1.437,1.183,1.076,0.882,0.866,0.733
"북구",1.564,1.695,1.604,1.385,1.327,1.374,1.254,1.108,1.010
"울주군",1.563,1.579,1.442,1.312,1.236,1.226,1.157,1.098,1.025
"세종특별자치시",1.354,1.893,1.821,1.668,1.566,1.472,1.277,1.277,1.121
"세종시",1.354,1.893,1.821,1.668,1.566,1.472,1.277,1.277,1.121
"경기도",1.241,1.272,1.194,1.069,1.002,0.943,0.878,0.853,0.839
"수원시",1.247,1.292,1.190,1.044,0.985,0.890,0.796,0.768,0.765
"장안구",1.183,1.247,1.061,0.954,0.855,0.773,0.714,0.628,0.652
"권선구",1.230,1.291,1.238,1.097,1.067,0.941,0.837,0.787,0.802
"팔달구",1.057,1.039,1.007,0.856,0.774,0.664,0.617,0.665,0.677
"영통구",1.428,1.465,1.328,1.147,1.082,1.001,0.871,0.868,0.835
"성남시",1.114,1.159,1.110,1.005,0.910,0.852,0.767,0.763,0.761
"수정구",1.093,1.116,1.140,1.016,0.955,0.882,0.793,0.772,0.799
"중원구",1.012,1.096,1.069,1.008,0.857,0.838,0.758,0.737,0.700
"분당구",1.176,1.208,1.114,0.998,0.911,0.841,0.756,0.768,0.768
"의정부시",1.081,1.104,1.049,0.947,0.905,0.847,0.795,0.781,0.762
"안양시",1.143,1.177,1.112,0.985,1.006,0.980,0.870,0.885,0.898
"만안구",1.063,1.089,1.100,0.955,0.998,0.972,0.862,0.856,0.843
"동안구",1.199,1.238,1.120,1.007,1.012,0.986,0.876,0.907,0.935
"부천시",1.089,1.072,1.019,0.977,0.896,0.807,0.745,0.707,0.703
"원미구",1.095,1.107,-,-,-,-,-,-,-
"소사구",1.087,1.041,-,-,-,-,-,-,-
"오정구",1.072,1.010,-,-,-,-,-,-,-
"광명시",1.170,1.235,1.126,0.978,0.925,0.840,0.823,0.867,0.813
"평택시",1.435,1.469,1.366,1.254,1.144,1.102,1.061,1.025,1.028
"동두천시",1.293,1.292,1.261,1.078,0.879,0.854,0.809,0.738,0.754
"안산시",1.185,1.219,1.106,0.983,0.879,0.887,0.869,0.836,0.807
"상록구",1.203,1.268,1.138,0.990,0.896,0.858,0.804,0.791,0.720
"단원구",1.164,1.159,1.067,0.974,0.859,0.919,0.939,0.883,0.900
"고양시",1.111,1.161,1.071,0.960,0.846,0.802,0.788,0.786,0.787
"덕양구",1.191,1.239,1.176,1.040,0.898,0.889,0.879,0.865,0.891
"일산구",-,-,-,-,-,-,-,-,-
"일산동구",1.004,1.041,0.912,0.873,0.788,0.681,0.663,0.668,0.645
"일산서구",1.115,1.175,1.076,0.932,0.829,0.794,0.766,0.771,0.742
"과천시",1.121,1.099,0.982,0.855,0.796,0.780,0.993,1.057,1.020
"구리시",1.055,1.159,1.034,0.979,0.955,0.872,0.784,0.732,0.725
"남양주시",1.226,1.255,1.190,1.043,0.988,0.908,0.868,0.834,0.821
"오산시",1.501,1.458,1.375,1.210,1.130,1.040,0.919,0.869,0.826
