항목,연령구분5세,시점,값
H40,5_9세,2015년 05월,293
H40,5세미만,2015년 05월,72
J00,10_14세,2015년 05월,20256
J00,5_9세,2015년 05월,46876
J00,5세미만,2015년 05월,170099
J01,10_14세,2015년 05월,34122
J01,5_9세,2015년 05월,84449
J01,5세미만,2015년 05월,179848
J02,10_14세,2015년 05월,31967
J02,5_9세,2015년 05월,63474
J02,5세미만,2015년 05월,177316
J03,10_14세,2015년 05월,48133
J03,5_9세,2015년 05월,86750
J03,5세미만,2015년 05월,170858
J04,10_14세,2015년 05월,19810
J04,5_9세,2015년 05월,27497
J04,5세미만,2015년 05월,42257
J06,10_14세,2015년 05월,35420
J06,5_9세,2015년 05월,63999
J06,5세미만,2015년 05월,190207
K12,10_14세,2015년 05월,4150
K12,5_9세,2015년 05월,7649
K12,5세미만,2015년 05월,15730
H10,10_14세,2015년 06월,25911
H10,5_9세,2015년 06월,37975
H10,5세미만,2015년 06월,48177
H16,10_14세,2015년 06월,5803
H16,5_9세,2015년 06월,4536
H16,5세미만,2015년 06월,3782
H20,10_14세,2015년 06월,159
H20,5_9세,2015년 06월,72
H20,5세미만,2015년 06월,18
H30,10_14세,2015년 06월,7
H30,5_9세,2015년 06월,2
H30,5세미만,2015년 06월,2
H40,10_14세,2015년 06월,413
H40,5_9세,2015년 06월,183
H40,5세미만,2015년 06월,36
J00,10_14세,2015년 06월,17335
J00,5_9세,2015년 06월,35123
J00,5세미만,2015년 06월,117373
J01,10_14세,2015년 06월,20279
J01,5_9세,2015년 06월,52699
J01,5세미만,2015년 06월,115356
J02,10_14세,2015년 06월,28172
J02,5_9세,2015년 06월,53543
J02,5세미만,2015년 06월,130241
J03,10_14세,2015년 06월,42983
J03,5_9세,2015년 06월,79099
J03,5세미만,2015년 06월,136733
J04,10_14세,2015년 06월,13336
J04,5_9세,2015년 06월,18297
J04,5세미만,2015년 06월,26726
J06,10_14세,2015년 06월,28780
J06,5_9세,2015년 06월,48508
J06,5세미만,2015년 06월,131320
K12,10_14세,2015년 06월,3597
K12,5_9세,2015년 06월,6790
K12,5세미만,2015년 06월,14163
H10,10_14세,2015년 07월,30418
H10,5_9세,2015년 07월,50209
H10,5세미만,2015년 07월,52585
H16,10_14세,2015년 07월,5822
H16,5_9세,2015년 07월,5256
H16,5세미만,2015년 07월,3982
H20,10_14세,2015년 07월,175
H20,5_9세,2015년 07월,85
H20,5세미만,2015년 07월,12
H30,10_14세,2015년 07월,10
H30,5_9세,2015년 07월,1
H30,5세미만,2015년 07월,2
H40,10_14세,2015년 07월,646
H40,5_9세,2015년 07월,284
H40,5세미만,2015년 07월,81
J00,10_14세,2015년 07월,12757
J00,5_9세,2015년 07월,37223
J00,5세미만,2015년 07월,136519
J01,10_14세,2015년 07월,16731
J01,5_9세,2015년 07월,52884
J01,5세미만,2015년 07월,117211
J02,10_14세,2015년 07월,21160
J02,5_9세,2015년 07월,57133
J02,5세미만,2015년 07월,155178
J03,10_14세,2015년 07월,33057
J03,5_9세,2015년 07월,83849
J03,5세미만,2015년 07월,156960
J04,10_14세,2015년 07월,10259
J04,5_9세,2015년 07월,18852
J04,5세미만,2015년 07월,29358
J06,10_14세,2015년 07월,21088
J06,5_9세,2015년 07월,50745
J06,5세미만,2015년 07월,151959
K12,10_14세,2015년 07월,4439
K12,5_9세,2015년 07월,7867
K12,5세미만,2015년 07월,14422
H10,10_14세,2015년 08월,44993
H10,5_9세,2015년 08월,71143
H10,5세미만,2015년 08월,57334
H16,10_14세,2015년 08월,6743
H16,5_9세,2015년 08월,6653
H16,5세미만,2015년 08월,4383
H20,10_14세,2015년 08월,181
H20,5_9세,2015년 08월,63
H20,5세미만,2015년 08월,18
H30,10_14세,2015년 08월,11
H30,5_9세,2015년 08월,6
H30,5세미만,2015년 08월,1
H40,10_14세,2015년 08월,725
H40,5_9세,2015년 08월,330
H40,5세미만,2015년 08월,91
J00,10_14세,2015년 08월,14833
J00,5_9세,2015년 08월,44149
J00,5세미만,2015년 08월,146274
J01,10_14세,2015년 08월,20582
J01,5_9세,2015년 08월,61865
J01,5세미만,2015년 08월,124015
J02,10_14세,2015년 08월,24357
J02,5_9세,2015년 08월,69830
J02,5세미만,2015년 08월,179709
J03,10_14세,2015년 08월,37099
J03,5_9세,2015년 08월,98629
J03,5세미만,2015년 08월,182233
J04,10_14세,2015년 08월,12721
J04,5_9세,2015년 08월,24111
J04,5세미만,2015년 08월,36534
J06,10_14세,2015년 08월,24128
J06,5_9세,2015년 08월,61038
J06,5세미만,2015년 08월,169353
K12,10_14세,2015년 08월,5559
K12,5_9세,2015년 08월,8732
K12,5세미만,2015년 08월,12357
H10,10_14세,2015년 09월,41998
H10,5_9세,2015년 09월,55799
H10,5세미만,2015년 09월,49502
H16,10_14세,2015년 09월,6594
H16,5_9세,2015년 09월,5599
H16,5세미만,2015년 09월,4100
H20,10_14세,2015년 09월,183
H20,5_9세,2015년 09월,58
H20,5세미만,2015년 09월,25
H30,10_14세,2015년 09월,10
H30,5_9세,2015년 09월,3
H30,5세미만,2015년 09월,2
H40,10_14세,2015년 09월,508
H40,5_9세,2015년 09월,243
H40,5세미만,2015년 09월,92
J00,10_14세,2015년 09월,32216
J00,5_9세,2015년 09월,67638
J00,5세미만,2015년 09월,183531
J01,10_14세,2015년 09월,50141
J01,5_9세,2015년 09월,109999
J01,5세미만,2015년 09월,176723
J02,10_14세,2015년 09월,49655
J02,5_9세,2015년 09월,92143
J02,5세미만,2015년 09월,183952
J03,10_14세,2015년 09월,68320
J03,5_9세,2015년 09월,119704
J03,5세미만,2015년 09월,172818
J04,10_14세,2015년 09월,29310
J04,5_9세,2015년 09월,39730
J04,5세미만,2015년 09월,44045
J06,10_14세,2015년 09월,54685
J06,5_9세,2015년 09월,92385
J06,5세미만,2015년 09월,203429
K12,10_14세,2015년 09월,4053
K12,5_9세,2015년 09월,6529
K12,5세미만,2015년 09월,8895
H10,10_14세,2015년 10월,22366
H10,5_9세,2015년 10월,36330
