"시점","행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명)
"2015","세종특별자치시","60~64세",8351,4151,4200
"2015","세종특별자치시","15세미만",39711,20241,19470
"2015","세종특별자치시","65세이상",21103,8744,12359
"2015","경기도","합계",12479061,6309661,6169400
"2015","경기도","15~19세",791805,409613,382192
"2015","경기도","20~24세",841409,447814,393595
"2015","경기도","25~29세",807673,429154,378519
"2015","경기도","30~34세",974298,508729,465569
"2015","경기도","35~39세",1045587,536301,509286
"2015","경기도","40~44세",1159219,592425,566794
"2015","경기도","45~49세",1134981,574171,560810
"2015","경기도","50~54세",1054682,540691,513991
"2015","경기도","55~59세",900787,458719,442068
"2015","경기도","60~64세",588180,292108,296072
"2015","경기도","15세미만",1878632,966859,911773
"2015","경기도","65세이상",1301808,553077,748731
"2015","강원특별자치도","합계",1518040,768241,749799
"2015","강원특별자치도","15~19세",97756,52068,45688
"2015","강원특별자치도","20~24세",107921,62790,45131
"2015","강원특별자치도","25~29세",80314,45570,34744
"2015","강원특별자치도","30~34세",88552,46803,41749
"2015","강원특별자치도","35~39세",97761,49940,47821
"2015","강원특별자치도","40~44세",117324,60850,56474
"2015","강원특별자치도","45~49세",124735,65031,59704
"2015","강원특별자치도","50~54세",128399,65544,62855
"2015","강원특별자치도","55~59세",131865,66279,65586
"2015","강원특별자치도","60~64세",94841,47060,47781
"2015","강원특별자치도","15세미만",193769,100218,93551
"2015","강원특별자치도","65세이상",254803,106088,148715
"2015","충청북도","합계",1589347,805377,783970
"2015","충청북도","15~19세",106539,55891,50648
"2015","충청북도","20~24세",113414,62172,51242
"2015","충청북도","25~29세",94540,52293,42247
"2015","충청북도","30~34세",108441,57870,50571
"2015","충청북도","35~39세",112462,59055,53407
"2015","충청북도","40~44세",125782,65379,60403
"2015","충청북도","45~49세",134300,69105,65195
"2015","충청북도","50~54세",131746,68133,63613
"2015","충청북도","55~59세",124779,63493,61286
"2015","충청북도","60~64세",89402,44393,45009
"2015","충청북도","15세미만",217409,112310,105099
"2015","충청북도","65세이상",230533,95283,135250
"2015","충청남도","합계",2107802,1078310,1029492
"2015","충청남도","15~19세",135925,71225,64700
"2015","충청남도","20~24세",144660,77338,67322
"2015","충청남도","25~29세",127182,71035,56147
"2015","충청남도","30~34세",152421,84202,68219
"2015","충청남도","35~39세",157002,85050,71952
"2015","충청남도","40~44세",167392,90009,77383
"2015","충청남도","45~49세",164903,87551,77352
"2015","충청남도","50~54세",164283,86760,77523
"2015","충청남도","55~59세",151924,77372,74552
"2015","충청남도","60~64세",113309,56034,57275
"2015","충청남도","15세미만",296037,153109,142928
"2015","충청남도","65세이상",332764,138625,194139
"2015","전라북도","합계",1834114,915729,918385
"2015","전라북도","15~19세",123926,65504,58422
"2015","전라북도","20~24세",126300,69322,56978
"2015","전라북도","25~29세",97765,52875,44890
"2015","전라북도","30~34세",109359,57328,52031
"2015","전라북도","35~39세",120792,62471,58321
"2015","전라북도","40~44세",143138,74161,68977
"2015","전라북도","45~49세",146666,75918,70748
"2015","전라북도","50~54세",145400,74578,70822
"2015","전라북도","55~59세",141381,70761,70620
"2015","전라북도","60~64세",108527,53536,54991
"2015","전라북도","15세미만",246497,127325,119172
"2015","전라북도","65세이상",324363,131950,192413
"2015","전라남도","합계",1799044,900967,898077
"2015","전라남도","15~19세",111028,58971,52057
"2015","전라남도","20~24세",99301,57132,42169
"2015","전라남도","25~29세",83731,45144,38587
"2015","전라남도","30~34세",103927,55536,48391
"2015","전라남도","35~39세",113927,60234,53693
"2015","전라남도","40~44세",133103,71313,61790
"2015","전라남도","45~49세",144423,77553,66870
"2015","전라남도","50~54세",145762,76357,69405
"2015","전라남도","55~59세",143786,73280,70506
"2015","전라남도","60~64세",110438,54732,55706
"2015","전라남도","15세미만",237267,122258,115009
"2015","전라남도","65세이상",372351,148457,223894
"2015","경상북도","합계",2680294,1351037,1329257
"2015","경상북도","15~19세",163791,88104,75687
"2015","경상북도","20~24세",171458,96526,74932
"2015","경상북도","25~29세",149623,84374,65249
"2015","경상북도","30~34세",174478,93893,80585
"2015","경상북도","35~39세",179540,95089,84451
"2015","경상북도","40~44세",203175,106270,96905
"2015","경상북도","45~49세",216380,112189,104191
"2015","경상북도","50~54세",224043,114892,109151
"2015","경상북도","55~59세",220294,110636,109658
"2015","경상북도","60~64세",171410,83454,87956
"2015","경상북도","15세미만",337066,175781,161285
"2015","경상북도","65세이상",469036,189829,279207
"2015","경상남도","합계",3334524,1698737,1635787
"2015","경상남도","15~19세",208104,111484,96620
"2015","경상남도","20~24세",204793,118127,86666
"2015","경상남도","25~29세",190156,107800,82356
"2015","경상남도","30~34세",239910,130761,109149
"2015","경상남도","35~39세",254746,134816,119930
"2015","경상남도","40~44세",283354,147342,136012
"2015","경상남도","45~49세",291991,149791,142200
"2015","경상남도","50~54세",279912,143426,136486
"2015","경상남도","55~59세",260678,132062,128616
"2015","경상남도","60~64세",187560,92785,94775
"2015","경상남도","15세미만",479761,249644,230117
"2015","경상남도","65세이상",453559,180699,272860
"2015","제주특별자치도","합계",605619,304789,300830
"2015","제주특별자치도","15~19세",39846,20914,18932
"2015","제주특별자치도","20~24세",38656,20992,17664
"2015","제주특별자치도","25~29세",32472,17008,15464
"2015","제주특별자치도","30~34세",40974,21202,19772
"2015","제주특별자치도","35~39세",45034,23360,21674
"2015","제주특별자치도","40~44세",53618,27818,25800
"2015","제주특별자치도","45~49세",52615,27499,25116
"2015","제주특별자치도","50~54세",48312,24908,23404
"2015","제주특별자치도","55~59세",43267,21966,21301
"2015","제주특별자치도","60~64세",30467,14964,15503
"2015","제주특별자치도","15세미만",96890,50479,46411
"2015","제주특별자치도","65세이상",83468,33679,49789
"2016","전국","합계",51269554,25696987,25572567
"2016","전국","15~19세",3084039,1606802,1477237
"2016","전국","20~24세",3552780,1898134,1654646
"2016","전국","25~29세",3308184,1756218,1551966
"2016","전국","30~34세",3629317,1894497,1734820
"2016","전국","35~39세",4002467,2062739,1939728
"2016","전국","40~44세",4152420,2124144,2028276
"2016","전국","45~49세",4492909,2264120,2228789
"2016","전국","50~54세",4153936,2108614,2045322
"2016","전국","55~59세",4165508,2069976,2095532
"2016","전국","60~64세",3079213,1508112,1571101
"2016","전국","15세미만",6822213,3518101,3304112
"2016","전국","65세이상",6826568,2885530,3941038
"2016","서울특별시","합계",9805506,4799115,5006391
"2016","서울특별시","15~19세",526432,267296,259136
"2016","서울특별시","20~24세",707555,346503,361052
"2016","서울특별시","25~29세",761584,375184,386400
"2016","서울특별시","30~34세",807246,405165,402081
"2016","서울특별시","35~39세",798944,403974,394970
"2016","서울특별시","40~44세",789416,396847,392569
"2016","서울특별시","45~49세",842448,414847,427601
"2016","서울특별시","50~54세",773918,380832,393086
"2016","서울특별시","55~59세",795249,379327,415922
"2016","서울특별시","60~64세",624370,296875,327495
"2016","서울특별시","15세미만",1130398,581228,549170
"2016","서울특별시","65세이상",1247946,551037,696909
"2016","부산광역시","합계",3440484,1694026,1746458
"2016","부산광역시","15~19세",194712,101759,92953
"2016","부산광역시","20~24세",245825,130739,115086
"2016","부산광역시","25~29세",213370,111928,101442
"2016","부산광역시","30~34세",224194,115989,108205
"2016","부산광역시","35~39세",253126,130038,123088
"2016","부산광역시","40~44세",254784,128753,126031
"2016","부산광역시","45~49세",284928,138850,146078
"2016","부산광역시","50~54세",279576,135609,143967
"2016","부산광역시","55~59세",315908,150135,165773
"2016","부산광역시","60~64세",254676,121730,132946
"2016","부산광역시","15세미만",395647,204000,191647
"2016","부산광역시","65세이상",523738,224496,299242
"2016","대구광역시","합계",2461002,1223733,1237269
"2016","대구광역시","15~19세",157832,83207,74625
"2016","대구광역시","20~24세",178227,97665,80562
"2016","대구광역시","25~29세",149598,82378,67220
"2016","대구광역시","30~34세",155362,80524,74838
"2016","대구광역시","35~39세",179830,90213,89617
"2016","대구광역시","40~44세",199464,98620,100844
"2016","대구광역시","45~49세",225880,110673,115207
"2016","대구광역시","50~54세",210583,104161,106422
"2016","대구광역시","55~59세",206933,101399,105534
"2016","대구광역시","60~64세",154574,74135,80439
"2016","대구광역시","15세미만",318450,165138,153312
"2016","대구광역시","65세이상",324269,135620,188649
"2016","인천광역시","합계",2913024,1465699,1447325
"2016","인천광역시","15~19세",172119,88867,83252
"2016","인천광역시","20~24세",200319,106207,94112
"2016","인천광역시","25~29세",196261,102669,93592
"2016","인천광역시","30~34세",215786,112731,103055
"2016","인천광역시","35~39세",241311,125265,116046
"2016","인천광역시","40~44세",243144,125017,118127
"2016","인천광역시","45~49세",262988,130951,132037
"2016","인천광역시","50~54세",252565,127011,125554
"2016","인천광역시","55~59세",244514,123563,120951
"2016","인천광역시","60~64세",163424,81238,82186
"2016","인천광역시","15세미만",400765,205942,194823
"2016","인천광역시","65세이상",319828,136238,183590
"2016","광주광역시","합계",1501557,747303,754254
"2016","광주광역시","15~19세",108159,55626,52533
"2016","광주광역시","20~24세",119181,61847,57334
"2016","광주광역시","25~29세",93810,48861,44949
"2016","광주광역시","30~34세",103257,53030,50227
"2016","광주광역시","35~39세",117658,58976,58682
"2016","광주광역시","40~44세",126485,63576,62909
"2016","광주광역시","45~49세",134150,67154,66996
"2016","광주광역시","50~54세",117447,59303,58144
"2016","광주광역시","55~59세",111120,54780,56340
"2016","광주광역시","60~64세",75538,36728,38810
"2016","광주광역시","15세미만",219754,113741,106013
"2016","광주광역시","65세이상",174998,73681,101317
"2016","대전광역시","합계",1535445,770971,764474
"2016","대전광역시","15~19세",107174,56028,51146
"2016","대전광역시","20~24세",130171,69372,60799
"2016","대전광역시","25~29세",104574,56827,47747
"2016","대전광역시","30~34세",106200,54786,51414
"2016","대전광역시","35~39세",117611,58980,58631
"2016","대전광역시","40~44세",124435,62183,62252
"2016","대전광역시","45~49세",136168,67626,68542
"2016","대전광역시","50~54세",118332,59524,58808
"2016","대전광역시","55~59세",119005,58831,60174
"2016","대전광역시","60~64세",84594,41679,42915
"2016","대전광역시","15세미만",216008,111720,104288
"2016","대전광역시","65세이상",171173,73415,97758
"2016","울산광역시","합계",1166033,605618,560415
"2016","울산광역시","15~19세",73137,39835,33302
"2016","울산광역시","20~24세",78196,46055,32141
"2016","울산광역시","25~29세",76427,43427,33000
"2016","울산광역시","30~34세",85927,46315,39612
"2016","울산광역시","35~39세",96413,51058,45355
